epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,57.7835,2.93784,3.39139,4.26452,0.00333,1,0.37206,0.09077,2.07042,3.63023,4.15871,0.0002,0.0002,0.0002
2,112.401,3.05086,3.31255,4.20796,0.00333,1,0.158,0.07225,2.08173,3.62749,4.1549,0.0002814,0.0002814,0.0002814
3,168.771,3.01016,3.30904,4.18411,0.00333,1,0.12817,0.05192,2.09397,3.6161,4.14405,0.0002176,0.0002176,0.0002176
