epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1928.95,1.30417,1.15604,2.02383,0.96882,0.93333,0.98237,0.73981,1.12116,1.2725,2.09112,0.000812,0.000812,0.000812
44,1972.57,1.27893,1.11792,2.00355,0.98567,0.86667,0.95352,0.7697,0.97842,1.11496,1.96341,0.000783714,0.000783714,0.000783714
45,2016.82,1.2636,1.06287,1.99014,1,0.91922,0.96714,0.76844,0.97912,1.07859,1.99451,0.000755429,0.000755429,0.000755429
46,2061.31,1.23589,1.07118,1.94212,0.99316,0.93333,0.95695,0.76213,1.02875,0.95946,2.01025,0.000727143,0.000727143,0.000727143
47,2105.76,1.17908,1.04307,1.92976,0.99915,1,0.995,0.84075,0.84071,0.85304,1.819,0.000698857,0.000698857,0.000698857
48,2149.8,1.29439,1.10323,1.99324,1,0.99472,0.995,0.80019,0.92751,0.8498,1.91987,0.000670571,0.000670571,0.000670571
49,2193.71,1.19563,1.05599,1.9145,0.99237,0.93333,0.98794,0.77799,0.97368,0.92109,1.9382,0.000642286,0.000642286,0.000642286
50,2237.58,1.2084,1.04709,1.91241,0.99358,0.93333,0.985,0.77092,0.88936,0.99889,1.87955,0.000614,0.000614,0.000614
51,2281.21,1.16373,1.00842,1.92066,0.99403,0.93333,0.98,0.78806,0.92858,0.85611,1.8851,0.000585714,0.000585714,0.000585714
52,2324.82,1.24581,1.0579,1.91972,0.99034,0.93333,0.96,0.71461,1.11505,0.91511,2.11763,0.000557429,0.000557429,0.000557429
53,2368.65,1.12219,0.97191,1.85314,0.9869,0.93333,0.97591,0.76124,1.0269,0.86488,1.9836,0.000529143,0.000529143,0.000529143
54,2413,1.10925,0.93976,1.84197,0.99913,1,0.995,0.83445,0.84784,0.76042,1.78731,0.000500857,0.000500857,0.000500857
55,2460.86,1.05803,0.90375,1.79143,0.99858,1,0.995,0.79878,0.89069,0.7577,1.8616,0.000472571,0.000472571,0.000472571
56,2505.97,1.08108,0.88142,1.81604,0.99715,1,0.995,0.84067,0.79467,0.75149,1.75671,0.000444286,0.000444286,0.000444286
57,2550.56,1.10273,0.90964,1.82311,0.99677,1,0.995,0.80901,0.88758,0.76402,1.83284,0.000416,0.000416,0.000416
58,2594.91,1.00146,0.83537,1.74559,0.99572,1,0.995,0.8267,0.74436,0.71878,1.74096,0.000387714,0.000387714,0.000387714
59,2639.9,1.03403,0.92346,1.77573,0.99574,1,0.995,0.82361,0.76686,0.73599,1.74142,0.000359429,0.000359429,0.000359429
60,2685.28,1.01447,0.85382,1.754,1,0.99985,0.995,0.77377,0.92554,0.79271,1.87126,0.000331143,0.000331143,0.000331143
61,2729.91,0.80259,1.19619,1.64559,0.9972,1,0.995,0.75173,1.07232,0.83376,1.98617,0.000302857,0.000302857,0.000302857
62,2774.31,0.72961,0.87617,1.56866,1,0.99862,0.995,0.8324,0.76693,0.78616,1.73528,0.000274571,0.000274571,0.000274571
63,2817.95,0.77957,0.80636,1.62742,1,0.99713,0.995,0.80762,0.80016,0.77696,1.74448,0.000246286,0.000246286,0.000246286
64,2861.74,0.68133,0.79486,1.50954,0.9996,1,0.995,0.79858,0.84498,0.73511,1.76622,0.000218,0.000218,0.000218
65,2905.39,0.67598,0.69055,1.53776,0.99684,1,0.995,0.84398,0.70991,0.64372,1.67485,0.000189714,0.000189714,0.000189714
66,2948.97,0.63418,0.66961,1.45983,0.99629,1,0.995,0.81507,0.76593,0.64347,1.70321,0.000161429,0.000161429,0.000161429
67,2992.4,0.63903,0.65319,1.49286,0.99649,1,0.995,0.81563,0.77574,0.62634,1.70693,0.000133143,0.000133143,0.000133143
68,3036.31,0.64244,0.63706,1.46069,0.99629,1,0.995,0.83518,0.70349,0.6005,1.6558,0.000104857,0.000104857,0.000104857
69,3079.71,0.63085,0.70184,1.49959,0.99626,1,0.995,0.81843,0.71825,0.60359,1.66139,7.65714e-05,7.65714e-05,7.65714e-05
70,3124.4,0.6551,0.64139,1.48487,0.99629,1,0.995,0.8125,0.74726,0.60969,1.6672,4.82857e-05,4.82857e-05,4.82857e-05
