Timestamp,Timelapse,Distance
2025/03/14 13:04:13,0.48702001571655273,"x: 1.0372722148895264, y: 1.0077779293060303, z: -9.890912055969238"
2025/03/14 13:04:16,0.0005629062652587891,"x: 2.8013322353363037, y: 5.028742790222168, z: -13.557708740234375"
2025/03/14 13:04:20,0.7488329410552979,"x: 5.068546772003174, y: 10.244948387145996, z: -19.367685317993164"
2025/03/14 13:04:23,0.2461390495300293,"x: 5.0024518966674805, y: 10.02220630645752, z: -19.516815185546875"
2025/03/14 13:04:27,0.7459967136383057,"x: 4.979279518127441, y: 9.993868827819824, z: -19.540075302124023"
2025/03/14 13:04:30,0.0007469654083251953,"x: 4.992108345031738, y: 9.98801040649414, z: -19.541471481323242"
2025/03/14 13:04:34,0.9995937347412109,"x: 4.979943752288818, y: 9.993217468261719, z: -19.542211532592773"
2025/03/14 13:04:37,0.4942162036895752,"x: 4.981566905975342, y: 9.99119758605957, z: -19.541885375976562"
2025/03/14 13:23:57,1.499938726425171,"x: 4.972476959228516, y: 9.99286937713623, z: -9.874189376831055"
2025/03/14 13:24:00,0.24395465850830078,"x: 4.997077465057373, y: 10.001899719238281, z: -9.773882865905762"
2025/03/14 13:24:04,0.2510378360748291,"x: 4.990413188934326, y: 9.995999336242676, z: -9.778731346130371"
2025/03/14 13:24:08,0.9954380989074707,"x: 4.989660263061523, y: 9.996719360351562, z: -9.782562255859375"
2025/03/14 13:24:11,0.49393677711486816,"x: 4.989248752593994, y: 9.996804237365723, z: -9.782000541687012"
2025/03/14 13:24:14,0.002516508102416992,"x: 4.980599403381348, y: 9.99773120880127, z: -9.779796600341797"
2025/03/14 13:24:18,0.7450556755065918,"x: 4.983038902282715, y: 9.99673843383789, z: -9.781059265136719"
2025/03/14 13:24:22,1.2496929168701172,"x: 4.978724479675293, y: 9.996500015258789, z: -9.7794189453125"
2025/03/14 13:24:26,0.4946916103363037,"x: 4.981914520263672, y: 9.992578506469727, z: -9.780267715454102"
2025/03/14 13:47:01,0.23939752578735352,"x: 4.9783477783203125, y: 9.98117446899414, z: -0.2929694354534149"
2025/03/14 13:47:04,0.0022079944610595703,"x: 4.973695755004883, y: 9.9788179397583, z: -0.20171986520290375"
2025/03/14 13:47:07,0.002552509307861328,"x: 4.9747467041015625, y: 9.980217933654785, z: -0.21963539719581604"
2025/03/14 13:47:10,0.0027227401733398438,"x: 4.976407527923584, y: 9.981911659240723, z: -0.231516033411026"
2025/03/14 13:57:17,0.4994354248046875,"x: 0.01136191189289093, y: -0.010660414583981037, z: -9.87350082397461"
2025/03/14 13:57:20,0.4981503486633301,"x: 3.9289441108703613, y: 7.847675323486328, z: -9.733830451965332"
2025/03/14 13:57:25,1.2467372417449951,"x: 5.085461616516113, y: 10.122651100158691, z: -9.749631881713867"
2025/03/14 13:57:28,0.00366973876953125,"x: 5.048277854919434, y: 10.026284217834473, z: -9.749811172485352"
2025/03/14 13:57:31,0.2398393154144287,"x: 5.036251544952393, y: 10.02953815460205, z: -9.750704765319824"
2025/03/14 13:57:34,0.002974271774291992,"x: 5.028841972351074, y: 10.0258150100708, z: -9.74771785736084"
2025/03/14 13:57:37,0.4975242614746094,"x: 5.0203094482421875, y: 10.016493797302246, z: -9.749423027038574"
2025/03/14 13:57:41,0.4942293167114258,"x: 5.0278120040893555, y: 10.017545700073242, z: -9.747793197631836"
2025/03/14 13:57:45,0.7525608539581299,"x: 5.018367290496826, y: 10.016363143920898, z: -9.747915267944336"
2025/03/14 13:57:49,0.9977316856384277,"x: 5.019805431365967, y: 10.017685890197754, z: -9.748880386352539"
2025/03/14 13:57:52,0.24085235595703125,"x: 5.025961875915527, y: 10.015892028808594, z: -9.747575759887695"
2025/03/14 13:57:55,0.0008835792541503906,"x: 5.018457412719727, y: 10.014609336853027, z: -9.749458312988281"
2025/03/14 13:57:59,1.2522132396697998,"x: 5.019542217254639, y: 10.012970924377441, z: -9.747629165649414"
2025/03/14 13:58:02,0.24390411376953125,"x: 5.026918411254883, y: 10.016585350036621, z: -9.748215675354004"
2025/03/14 14:06:25,0.24800634384155273,"x: 0.01268059853464365, y: -0.011586643755435944, z: -129.76597595214844"
2025/03/14 14:06:28,0.0013630390167236328,"x: 2.446398973464966, y: 4.848120212554932, z: -129.8686981201172"
2025/03/14 14:06:31,0.002248525619506836,"x: 4.9911789894104, y: 9.967442512512207, z: -129.88038635253906"
2025/03/14 14:06:34,0.0026276111602783203,"x: 5.07708740234375, y: 10.13518238067627, z: -129.88229370117188"
2025/03/14 14:06:37,0.002514362335205078,"x: 5.130972385406494, y: 10.240160942077637, z: -129.88377380371094"
2025/03/14 14:06:40,0.002403736114501953,"x: 5.159685134887695, y: 10.296807289123535, z: -129.88499450683594"
2025/03/14 14:06:43,0.003141641616821289,"x: 5.169707775115967, y: 10.318142890930176, z: -129.8856201171875"
2025/03/14 14:06:46,0.002538919448852539,"x: 5.167385101318359, y: 10.314988136291504, z: -129.88568115234375"
2025/03/14 14:06:49,0.003123044967651367,"x: 5.157322406768799, y: 10.296358108520508, z: -129.8855743408203"
2025/03/14 14:06:52,0.0021975040435791016,"x: 5.1439208984375, y: 10.26974868774414, z: -129.8858642578125"
2025/03/14 14:06:55,0.0029823780059814453,"x: 5.034876346588135, y: 10.023767471313477, z: -129.88906860351562"
2025/03/14 14:06:58,0.0027811527252197266,"x: 5.034746170043945, y: 10.023439407348633, z: -129.88902282714844"
2025/03/14 14:07:01,0.0028710365295410156,"x: 5.02858304977417, y: 10.01783561706543, z: -129.88592529296875"
