epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2959.46,0.73537,0.58225,1.36697,0.96644,1,0.99219,0.80291,0.73392,0.5299,1.32117,0.0009605,0.0009605,0.0009605
44,3028.36,0.7296,0.57813,1.3917,0.96557,1,0.99406,0.777,0.79669,0.56533,1.34977,0.00093575,0.00093575,0.00093575
45,3099.97,0.74857,0.60827,1.42772,0.96382,1,0.99406,0.80246,0.74255,0.56865,1.29479,0.000911,0.000911,0.000911
46,3171.79,0.78495,0.60198,1.43391,0.96456,1,0.99406,0.83024,0.73791,0.52622,1.30962,0.00088625,0.00088625,0.00088625
47,3243.32,0.78584,0.6056,1.4149,0.96053,1,0.99125,0.79199,0.7561,0.54526,1.26789,0.0008615,0.0008615,0.0008615
48,3313.5,0.77138,0.58309,1.40867,0.96361,1,0.98906,0.84573,0.66942,0.54658,1.21483,0.00083675,0.00083675,0.00083675
49,3387.58,0.73315,0.57671,1.40259,0.96354,1,0.98719,0.7868,0.78887,0.61986,1.28638,0.000812,0.000812,0.000812
50,3458.67,0.7314,0.57393,1.38718,0.96582,1,0.98813,0.81665,0.73322,0.53429,1.27486,0.00078725,0.00078725,0.00078725
51,3528.77,0.83801,0.60833,1.47652,0.9665,1,0.99219,0.8286,0.67045,0.49192,1.26709,0.0007625,0.0007625,0.0007625
52,3598.94,0.71492,0.56619,1.3575,0.96852,1,0.995,0.84297,0.64994,0.50891,1.23501,0.00073775,0.00073775,0.00073775
53,3667.22,0.74731,0.55704,1.38504,0.96489,1,0.99,0.84802,0.64729,0.49531,1.21528,0.000713,0.000713,0.000713
54,3742.06,0.67202,0.52557,1.31878,0.96619,1,0.99125,0.83533,0.65046,0.46715,1.23927,0.00068825,0.00068825,0.00068825
55,3811.97,0.69083,0.56147,1.32982,0.96639,1,0.99219,0.83136,0.67624,0.48576,1.24059,0.0006635,0.0006635,0.0006635
56,3888.07,0.75071,0.56341,1.39915,0.96533,1,0.98906,0.82421,0.65172,0.58017,1.1888,0.00063875,0.00063875,0.00063875
57,3959.54,0.70351,0.56427,1.36374,0.96523,1,0.98813,0.83112,0.66323,0.54591,1.18545,0.000614,0.000614,0.000614
58,4033.6,0.71239,0.53049,1.35014,0.96623,1,0.98813,0.81746,0.6954,0.47965,1.23291,0.00058925,0.00058925,0.00058925
59,4107.21,0.68809,0.54513,1.32703,0.96597,1,0.99219,0.85952,0.64413,0.47243,1.2203,0.0005645,0.0005645,0.0005645
60,4179.53,0.67317,0.51501,1.32425,0.96645,1,0.99406,0.82307,0.67717,0.46687,1.2303,0.00053975,0.00053975,0.00053975
61,4249.68,0.68466,0.50767,1.34602,0.96656,1,0.99,0.82799,0.65025,0.46342,1.22117,0.000515,0.000515,0.000515
62,4320.22,0.6817,0.52016,1.36187,0.96522,1,0.98094,0.82618,0.64782,0.48481,1.24395,0.00049025,0.00049025,0.00049025
63,4389.44,0.62102,0.51643,1.28358,0.96631,1,0.98406,0.82869,0.64745,0.4651,1.2199,0.0004655,0.0004655,0.0004655
64,4458.37,0.64169,0.51292,1.30272,0.96611,1,0.98906,0.84999,0.58764,0.47368,1.17041,0.00044075,0.00044075,0.00044075
65,4526.75,0.61649,0.50202,1.26642,0.96633,1,0.99406,0.84459,0.65306,0.45985,1.19744,0.000416,0.000416,0.000416
