epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.3964,2.52935,3.84143,4.40956,0.00333,1,0.09358,0.02562,2.06215,3.62661,4.15856,0.0002,0.0002,0.0002
2,102.345,2.35766,3.63565,4.27312,0.00333,1,0.07034,0.02072,2.0391,3.61252,4.15194,0.00037842,0.00037842,0.00037842
3,155.457,2.26268,3.58153,4.11983,0.00333,1,0.8757,0.43742,1.95069,3.57284,4.11571,0.00051328,0.00051328,0.00051328
4,205.684,2.30269,3.46893,4.02086,0.00333,1,0.90666,0.49298,1.78709,3.48706,3.97549,0.00060458,0.00060458,0.00060458
5,255.337,2.2458,3.39824,3.90853,0.00333,1,0.6977,0.3892,1.71378,3.38095,3.80111,0.00065232,0.00065232,0.00065232
6,305.82,2.29766,3.30253,3.80414,0.00333,1,0.32789,0.18074,1.74397,3.25248,3.60859,0.0006565,0.0006565,0.0006565
7,355.248,2.11776,3.30178,3.66111,0.00333,1,0.25906,0.13132,1.71301,3.11545,3.68622,0.00061712,0.00061712,0.00061712
8,404.51,2.2133,3.1203,3.64694,0.00333,1,0.2852,0.14621,1.89679,3.22053,3.43137,0.00053418,0.00053418,0.00053418
9,454.485,2.04655,3.14052,3.49909,0.00354,1,0.20952,0.08772,1.86336,3.08696,3.42015,0.00040768,0.00040768,0.00040768
10,506.501,2.036,3.08626,3.43785,0.00374,1,0.20866,0.08963,1.85857,2.99374,3.40002,0.000218,0.000218,0.000218
