epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,59.9302,0.65339,0.4949,1.38137,0.99643,1,0.995,0.90167,0.46367,0.3332,1.29882,0.0002,0.0002,0.0002
2,117.74,0.62589,0.49511,1.31652,0.99644,1,0.995,0.90182,0.48626,0.34263,1.30015,0.000415842,0.000415842,0.000415842
3,175.545,0.68743,0.51994,1.34333,0.99641,1,0.995,0.85962,0.55253,0.37809,1.34941,0.000627328,0.000627328,0.000627328
4,232.447,0.7031,0.50531,1.34263,0.99672,1,0.995,0.84514,0.6398,0.40201,1.5125,0.000834458,0.000834458,0.000834458
5,289.31,0.69326,0.51792,1.31526,0.99633,1,0.995,0.86407,0.55263,0.39825,1.41387,0.00103723,0.00103723,0.00103723
6,346.299,0.7546,0.54677,1.40003,0.99597,1,0.995,0.86242,0.54212,0.35344,1.39924,0.00123565,0.00123565,0.00123565
7,403.619,0.75204,0.52629,1.37003,0.99648,1,0.995,0.82707,0.71846,0.44791,1.59278,0.00142971,0.00142971,0.00142971
